route_id,route_short_name,route_long_name,route_type 
1,"101路","101路",3
2,"103路","103路",3
3,"10A路","10A路",3
4,"10F路","10F路",3
5,"10路","10路",3
6,"11路","11路",3
7,"12路","12路",3
8,"13路","13路",3
9,"14路","14路",3
10,"15路","15路",3
11,"16路","16路",3
12,"17路","17路",3
13,"18路","18路",3
14,"19路","19路",3
15,"1路","1路",3
16,"201路","201路",3
17,"202路","202路",3
18,"204路","204路",3
19,"207路","207路",3
20,"20路","20路",3
21,"21路","21路",3
22,"22路","22路",3
23,"23路","23路",3
24,"25路","25路",3
25,"26路","26路",3
26,"2A路","2A路",3
27,"2路","2路",3
28,"303路","303路",3
29,"304路","304路",3
30,"306路","306路",3
31,"307路","307路",3
32,"308路","308路",3
33,"30路","30路",3
34,"315路","315路",3
35,"316路","316路",3
36,"31路","31路",3
37,"32路","32路",3
38,"33路","33路",3
39,"34路","34路",3
40,"35路","35路",3
41,"36路","36路",3
42,"3A路","3A路",3
43,"3路","3路",3
44,"401路","401路",3
45,"402A路","402A路",3
46,"402路","402路",3
47,"403路","403路",3
48,"404路","404路",3
49,"405路","405路",3
50,"406路","406路",3
51,"407路","407路",3
52,"408路","408路",3
53,"40路","40路",3
54,"410路","410路",3
55,"411路","411路",3
56,"413路","413路",3
57,"415路","415路",3
58,"416路","416路",3
59,"417路","417路",3
60,"41路","41路",3
61,"42路","42路",3
62,"43路","43路",3
63,"45路","45路",3
64,"46路","46路",3
65,"4路","4路",3
66,"501路","501路",3
67,"502路","502路",3
68,"503路","503路",3
69,"504路","504路",3
70,"510路","510路",3
71,"520路","520路",3
72,"540路","540路",3
73,"541路","541路",3
74,"55路","55路",3
75,"56路","56路",3
76,"5路","5路",3
77,"601B路","601B路",3
78,"601路","601路",3
79,"602A路","602A路",3
80,"602路","602路",3
81,"603路","603路",3
82,"605路","605路",3
83,"608路","608路",3
84,"609路","609路",3
85,"60路","60路",3
86,"61路","61路",3
87,"62路","62路",3
88,"65路","65路",3
89,"66路","66路",3
90,"67路","67路",3
91,"68路","68路",3
92,"69路","69路",3
93,"6路","6路",3
94,"705路","705路",3
95,"706路","706路",3
96,"70路","70路",3
97,"710路","710路",3
98,"715路","715路",3
99,"71路","71路",3
100,"72A路","72A路",3
101,"73路","73路",3
102,"7路","7路",3
103,"801路","801路",3
104,"803路","803路",3
105,"80路","80路",3
106,"812路","812路",3
107,"81路","81路",3
108,"82路","82路",3
109,"83路","83路",3
110,"85路","85路",3
111,"86路","86路",3
112,"8路","8路",3
113,"931路","931路",3
114,"992路","992路",3
115,"999路","999路",3
116,"99路","99路",3
117,"9路","9路",3
118,"B1路","B1路",3
119,"B2路","B2路",3
120,"K10路","K10路",3
121,"K11路","K11路",3
122,"K1路","K1路",3
123,"K2路","K2路",3
124,"K3路","K3路",3
125,"K4路","K4路",3
126,"K5路","K5路",3
127,"K6路","K6路",3
128,"K7路","K7路",3
129,"K8路","K8路",3
130,"K9路","K9路",3
131,"L1路","L1路",3
132,"N20路","N20路",3
133,"Z101路","Z101路",3
134,"Z102路","Z102路",3
135,"Z103路","Z103路",3
136,"Z104路","Z104路",3
137,"Z105路","Z105路",3
138,"Z106路","Z106路",3
139,"Z107路","Z107路",3
140,"Z108路","Z108路",3
141,"Z115路","Z115路",3
142,"Z116路","Z116路",3
143,"Z117路","Z117路",3
144,"Z118路","Z118路",3
145,"Z11路","Z11路",3
146,"Z121路","Z121路",3
147,"Z125路","Z125路",3
148,"Z126路","Z126路",3
149,"Z12路","Z12路",3
150,"Z13路","Z13路",3
151,"Z140路","Z140路",3
152,"Z141路","Z141路",3
153,"Z142路","Z142路",3
154,"Z261路","Z261路",3
155,"Z263路","Z263路",3
156,"Z264路","Z264路",3
157,"Z265路","Z265路",3
158,"Z267路","Z267路",3
159,"Z30路","Z30路",3
160,"Z40路","Z40路",3
161,"Z51B路","Z51B路",3
162,"Z52路","Z52路",3
163,"Z53路","Z53路",3
164,"Z55路","Z55路",3
165,"Z75路","Z75路",3
166,"Z76路","Z76路",3
167,"Z77路","Z77路",3
168,"长隆高峰专线","长隆高峰专线",3
169,"专线5","专线5",3
